Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
SL.9.2015.6.5,False,False,643446,Photographs,Photograph,Madura: Pillars in the Recessed Portico in the Roya Gopurum with the Base of One of the Four Sculptured Monoliths.,,,,,,Artist,,Linnaeus Tripe,"British, Devonport (Plymouth Dock) 1822–1902 Devonport",,"Tripe, Linnaeus",,1822      ,1902      ,January–March 1858,1858,1858,,"image: 35.6 × 28.1 cm (14 × 11 1/16 in.)
page size: 43.4 × 56 cm (17 1/16 × 22 1/16 in.)","The British Library, London",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/643446,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
09.50.3699,False,True,68176,Asian Art,Sample,,Japan,,,,,,,,,,,,,,19th century,1800,1899,Silk,3 7/8 × 1 3/8 in. (9.8 × 3.5 cm),"Rogers Fund, 1909",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/68176,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
23.112.2691a,False,False,757941,Drawings and Prints,Drawing,Skeleton Boot Victoria #4099,,,,,,Manufacturer,,Brewster & Co.,"American, New York",,Brewster & Co.,,,,1890,1890,1890,Graphite on traciing paper overlay.,Sheet: 7 in. × 7 1/2 in. (17.8 × 19.1 cm),"Gift of William Brewster, 1923",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/757941,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.202.25.12,False,True,420656,Drawings and Prints,Print,"J. B. Eads, printer's sample for the World's Inventors souvenir album (A25) for Allen & Ginter Cigarettes",,,,,,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia",,Allen & Ginter,American,,,1888,1888,1888,Commercial color lithograph,Sheet: 2 3/4 x 1 1/2 in. (7 x 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/420656,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
81.10.114,False,True,245271,Greek and Roman Art,Jug,Glass jug,Roman,Imperial,,,,,,,,,,,,,1st–3rd century A.D.,1,299,Glass,"H.: 3 in. (7.6 cm)
Overall: 3 x 1 7/8 x 1 3/4 in. (7.6 x 4.8 x 4.4 cm)","Gift of Henry G. Marquand, 1881",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/245271,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2001.433.649.1–.6,False,False,58428,Asian Art,Beads,,"Indonesia (Java, Majapahit?)",,,,,,,,,,,,,,14th century,1300,1399,Bronze,Largest 2 7/8 x 7/8 in. (7.3 x 2.2 cm),"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998",,,,,,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/58428,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1978.412.756,False,False,311198,"Arts of Africa, Oceania, and the Americas",Valuable,Woman's valuable (Toluk),Belauan,,,,,,,,,,,,,,late 19th–early 20th century,1800,2000,Turtle shell,L: 7 1/8 in. (18.1 cm),"The Michael C. Rockefeller Memorial Collection, Gift of Mr. and Mrs. Sidney Burnett, 1960",,,,,Republic of Palau,Caroline Islands,,,,,,Shell-Implements,,http://www.metmuseum.org/art/collection/search/311198,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
08.256.324,False,True,445599,Islamic Art,Fragment,Fragment of a Bowl,,,,,,,,,,,,,,,14th–15th century,1300,1499,Earthenware; glazed over slip,,"Rogers Fund, 1908",Attributed to,,,,Egypt,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/445599,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
43.33.239,False,False,374808,Drawings and Prints,Print,Mill,,,,,,Artist|Publisher,Published by,Blanche Grambs|WPA,"American, 1916–2010",,"Grambs, Blanche|WPA",American,1916      ,2010      ,1935–43,1935,1943,"Etching, Aquatint","Sheet: 11 1/2 × 14 1/2 in. (29.2 × 36.8 cm)
Plate: 8 × 10 in. (20.3 × 25.4 cm)","Gift of the Work Projects Administration, New York, 1943",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374808,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
08.21.465,False,False,480252,Modern and Contemporary Art,Textile sample,Textile sample,,,,,,Manufacturer|Designer,,J. Claude Frères & Co.|Unknown Designer,,,J. Claude Frères & Co.|Unknown Designer,,,,ca. 1900,1900,1900,Silk,8 1/8 × 9 5/8 in. (20.6 × 24.4 cm),"Rogers Fund, 1908",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/480252,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
JIB26a–c,False,True,57559,Asian Art,Illustrated book,姿絵百人一首|Portraits for One Hundred Poems about One Hundred Poets (Sugata-e hyakunin isshu),Japan,Edo period (1615–1868),,,,Artist,,Hishikawa Moronobu,"Japanese, died 1694",,Hishikawa Moronobu,Japanese,,1694      ,"1695, fourth month",1695,1695,Set of three woodblock printed books; ink on paper,Each: 8 3/4 × 6 3/8 × 1/4 in. (22.2 × 16.2 × 0.6 cm),"Rogers Fund, 1918",,,,,,,,,,,,Illustrated Books,,http://www.metmuseum.org/art/collection/search/57559,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
53.193.4,False,True,45950,Asian Art,Bowl,,Japan,Edo period (1615–1868),,,,,,,,,,,,,18th–19th century,1700,1899,"Porcelain decorated in red-orange, blue, green and gilt (Arita ware, Imari style)",H. 6 1/8 in. (15.6 cm); Diam. 9 5/8 in. (24.4 cm),"Gift of Mrs. Edward H. Wells, 1953",,,,,,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/45950,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"Burdick 212, N151.187",False,False,751031,Drawings and Prints,Photograph,"Miss Lillie Wilson from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes",,,,,,Publisher|Publisher,Issued by|Branch of the,"W. Duke, Sons & Co.|American Tobacco Company","New York and Durham, N.C.",,"Duke, W. Sons & Co.|American Tobacco Company",,1870      ,1920      ,ca. 1888,1885,1890,Albumen photograph,Sheet: 4 3/16 × 2 5/16 in. (10.6 × 5.9 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/751031,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.90.9,False,True,209885,European Sculpture and Decorative Arts,Fan,Fan,French,,,,,,,,,,,,,,18th century,1700,1799,"Paper, ivory",12 1/4 x 22 1/2 in.  (31.1 x 57.2 cm),"Gift of Mrs. William Randolph Hearst, 1963",,,,,,,,,,,,Fans,,http://www.metmuseum.org/art/collection/search/209885,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
98.8.26,False,True,246738,Greek and Roman Art,Bowl,Terracotta Megarian bowl,"Greek, Argive",Hellenistic,,,,,,,,,,,,,ca. 165–150 B.C.,-165,-150,Terracotta,h. 2 3/8 in. (6 cm); d. 4 3/4 in. (12.1 cm),"Gift of F. W. Rhinelander, 1898",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/246738,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
11.215.308,False,True,559022,Egyptian Art,"Pendant, grapes",Pendant: Bunch of Grapes,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,,ca. 1390–1353 B.C.,-1390,-1390,Faience,L. 1.4 cm (9/16 in),"Rogers Fund, 1911",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Palace of Amenhotep III,,"MMA excavations, 1910–11",,,,http://www.metmuseum.org/art/collection/search/559022,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1982.1135.1,False,False,420799,Drawings and Prints,Print,Chelsea Regatta,,,,,,Artist and engraver,,Théodore Roussel,"French, Lorient, Brittany 1847–1926 St. Leonards-on-Sea, Sussex",,"Roussel, Théodore",French,1847      ,1926      ,1889–90,1889,1890,"Etching
",Plate: 3 1/8 x 4 3/4 in. (8 x 12 cm),"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1982",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/420799,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
36.25.2807,False,True,30135,Arms and Armor,Archer's ring,Archer's Ring,Ottoman,,,,,,,,,,,,,,probably late 16th–early 17th century,1550,1650,"Jade, gold",L. 1 3/4 in. (4.4 cm); W. 1 1/4 in. (3.2 cm); Wt. 0.6 oz. (17 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment-Archer's Ring,,http://www.metmuseum.org/art/collection/search/30135,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
D.1994.262.1010,False,False,279338,Photographs,Polaroid,[Foot],,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,"October 23, 1974",1974,1974,Instant color print,7.9 x 7.9 cm (3 1/8 x 3 1/8 in.),"Walker Evans Archive, 1994",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/279338,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"1973.142.15a, b",False,False,116038,Costume Institute,Loafers,Loafers,Italian,,,,,,,,,,,,,,1970,1970,1970,leather,,"Gift of Ronald Freyberger, 1973",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/116038,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
59.533.821,False,True,751213,Drawings and Prints,Print,Friendly Accommodation,,,,,,Artist|Publisher|Artist,After,"George Moutard Woodward|Rudolph Ackermann, London|Thomas Rowlandson","British, ca. 1760–1809 London|active 1794–1829|British, London 1757–1827 London",,"Woodward, George Moutard|Ackermann, Rudolph|Rowlandson, Thomas",,1760      |1764      |1757      ,1809      |1834      |1827      ,"February 25, 1802",1802,1802,Hand-colored etching,Sheet: 11 9/16 × 14 1/4 in. (29.4 × 36.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751213,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
X.21.103,False,True,256666,Greek and Roman Art,Bracelet,Bracelet,,,,,,,,,,,,,,,,-7000,330,Bronze,diameter    10.11 cm.,Museum Accession,,,,,,,,,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/256666,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
36.25.1201,False,True,31223,Arms and Armor,Kris,Kris,"Philippine, Moro",,,,,,,,,,,,,,18th–19th century,1701,1900,"Steel, silver",L. 26 3/4 in. (67.9 cm); L. of blade 22 1/2 in. (57.2 cm); W. 4 1/4 in. (10.8 cm); Wt. 1 lb. 8.5 oz. (694.6 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Krisses,,http://www.metmuseum.org/art/collection/search/31223,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
47.90.26,False,True,5793,American Decorative Arts,Pitcher,Pitcher,American,,,,,Maker,,Fenton's Works,1847–1848,,Fenton's Works ,,1847      ,1848      ,1847–48,1847,1848,Parian porcelain,6 7/8 x 5 1/8 x 4 1/4 in. (17.5 x 13 x 10.8 cm),"Gift of Dr. Charles W. Green, 1947",Made in,Bennington,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/5793,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
24.90.1879(1-4),False,False,370644,Drawings and Prints,Book,"The History of the Reign of George the Third from His Accession in 1760, till the Present Time",,,,,,Sitter|Sitter|Author|Printer|Artist|Engraver|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter|Sitter,Portrait after|Portrait engraved by,"Captain James Cook|George III, King of Great Britain and Ireland|Robert Bisset|J. Pillians & Sons|Allan Ramsay|Kirkwood|Benjamin Franklin|Sir George Bridges Rodney, 1st Baron Rodney|General George Augustus Eliott|George Washington|Mungo Park|Frederick North, 2nd Earl of Guilford|Sir Henry Clinton|General Richard Howe|William Pitt, 1st Earl of Chatham|Benedict Arnold|Charles James Fox|Napoleon I|Horatio Nelson, Viscount Nelson|Lord Cuthbert Collingwood|Henry Dundas, 1st Viscount Melville|General Sir John Moore|The Right Honorable Edmund Burke|Arthur Wellesley, 1st Duke of Wellington|John Stuart, 3rd Earl of Bute","British, 1728–1779|British, London 1738–1820 Windsor|British, 1759–1805|Edinburgh|British, Edinburgh, Scotland 1713–1784 Dover|British (active Scotland), 18th–19th century|American, 1706–1790|British, Walton-on-Thames 1719–1792 London|British, 1717–1780|American, 1732–1799|British, Selkirkshire, 1771–1806|British, 1732–1792|British, 1730–1795|British, London 1729–1814|British, 1708–1778|American,  Norwich, Connecticut 1741–1801|British, 1749–1806|French, Ajaccio 1769–1821 St. Helena|British, Burnham Thorpe 1758–1805 at sea|British, Newcastle upon Tyne 1748–1810 at sea|British, Edinburgh, 1742–1811|British, Glasgow, Scotland 1761–1809|British, born Ireland, Dublin 1729–1797 Beaconsfield|British, 1769–1852|British, born Scotland, Edinburgh 1713–1792 London",,"Cook, James Captain|George III, King of Great Britain and Ireland|Bisset, Robert|Pillians, J. & Sons|Ramsay, Allan|Kirkwood|Franklin, Benjamin|Rodney, George Bridges Sir|Eliott, George Augustus General|Washington, George|Park, Mungo|North, Frederick, 2nd Earl of Guilford|Clinton, Henry Sir|Howe, Richard 5th Viscount Howe General|Pitt, William, 1st Earl of Chatham|Arnold, Benedict|Fox, Charles James|Napoleon I|Nelson, Horatio Viscount|Collingwood, Cuthbert Lord|Dundas, Henry Viscount Melville|Moore, John General Sir|Burke, Edmund The Right Honorable|Wellesley, Arthur 1st Duke of Wellington|Stuart, John, 3rd Earl of Bute","British|British|British|British, Scottish|British, Scottish|British, Scottish|American|British|British|American|British|British|British|British|British|American|British|French|British|British|British|British, Scottish|British|British|British, born Scotland",1728      |1738      |1759      |1780      |1713      |1750      |1706      |1719      |1717      |1732      |1771      |1732      |1730      |1729      |1708      |1741      |1749      |1769      |1758      |1748      |1742      |1761      |1729      |1769      |1713      ,1779      |1820      |1805      |1850      |1784      |1850      |1790      |1792      |1780      |1799      |1806      |1792      |1795      |1814      |1778      |1801      |1806      |1821      |1805      |1810      |1811      |1809      |1797      |1852      |1792      ,1810,1810,1810,Illustrations: engraving,8 11/16 x 5 5/16 in. (22 x 13.5 cm),"Bequest of Charles Allen Munn, 1924",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/370644,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1981.1055.43,False,False,720718,Drawings and Prints,Drawing Ornament & Architecture,"Textile Design with Bundles of Flowers and Leaves, Camels and a Checked Pattern",,,,,,Artist,,Robert Bryer,"American, 20th century",,"Bryer, Robert",,1900      ,1980      ,ca. 1940–1950,1935,1955,Gouache over Graphite,"Image: 4 3/4 × 4 1/16 in. (12 × 10.3 cm)
Sheet: 12 in. × 10 1/4 in. (30.5 × 26 cm)","Gift of Stephen Perlow, 1981",,,,,,,,,,,,Drawings|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/720718,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1992.1.2,False,True,503430,Musical Instruments,Guitar,Guitar,Spanish,,,,,Maker,,Joseph Benedid,"Cadiz, 1760–1836",,"Benedid, Joseph",Spanish,1760      ,1836      ,1787,1787,1787,"Pine, ebony, maple, bone, mahogany",,"Purchase, Clara Mertens Bequest, in memory of André Mertens, 1992",,Cadiz,,,Spain,,,,,,,Chordophone-Lute-plucked-fretted,,http://www.metmuseum.org/art/collection/search/503430,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
36.25.2542a–c,False,False,30311,Arms and Armor,Bow with two arrows,Bow with Two Arrows,Indian,,,,,,,,,,,,,,19th century,1801,1900,"Wood, lacquer",L. 42 in. (106.7 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment,,http://www.metmuseum.org/art/collection/search/30311,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
18.62.4(103),False,False,435503,Drawings and Prints,Print collection ornament & architecture,"Landscape in an octagonal frame, from Ornements de panneaux à la romaine, plate 2, in A Bound Collection of Print Series Including Cheminées et Lambris, Alcoves à la Romaine, Feuillages et autres ornemens..., etc.",,,,,Ornements de panneaux à la romaine,Artist|Publisher|Publisher,,Jean Le Pautre|Charles Antoine Jombert|Pierre Mariette le fils,"French, Paris 1618–1682 Paris|French, 1712–1784|French, Paris 1634–1716 Paris",,"Le Pautre, Jean|Jombert, Charles Antoine|Mariette, Pierre le fils",French|French|French,1618      |1712      |1634      ,1682      |1784      |1716      ,1751,1751,1751,Etching; second state of two (Préaud),"Sheet: 8 1/4 × 12 3/8 in. (21 × 31.5 cm)
Plate: 5 3/8 × 7 3/4 in. (13.7 × 19.7 cm)","Rogers Fund, 1918",,Paris,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/435503,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1970.565.58bis,False,False,359326,Drawings and Prints,Book,The Adventure of Hunch-back and the Stories Connected with it (from the Arabian Nights Entertainments),,,,,,Etcher|Publisher|Printer|Artist,After,William Daniell|William Daniell|Thomas Davidson|Robert Smirke,"British, 1769–1837 London|British, 1769–1837 London|London|British, Wigton, Cumberland 1752/53–1845 London",,"Daniell, William|Daniell, William|Davidson, Thomas|Smirke, Robert",British|British|British,1769      |1769      |1800      |1752      ,1837      |1837      |1900      |1845      ,1814,1814,1814,Illustrations: etching and engraving,13 x 17 x 1 1/8 in. (33 x 43.2 x 2.9 cm),"Gift of Lincoln Kirstein, 1970",,London,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/359326,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
23.112.2432,False,False,732673,Drawings and Prints,Drawing,Landau #4120,,,,,,Manufacturer,,Brewster & Co.,"American, New York",,Brewster & Co.,,,,1891,1891,1891,"Graphite on wove paper with linen tape adhered to left edge perforated for binding.
Watermark: ""J Whatman 1885""

",Sheet: 13 1/2 × 22 1/2 in. (34.3 × 57.2 cm),"Gift of William Brewster, 1923",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/732673,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
83.7.157,False,False,186427,European Sculpture and Decorative Arts,Carafe,Carafe,"probably French, Bordeaux",,,,,,,,,,,,,,17th century,1600,1699,Glass,Height: 11 in. (27.9 cm),"Gift of Henry G. Marquand, 1883",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/186427,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2009.355 (1-33),False,False,291657,Photographs,Album,Souvenir of the Visit of Lord and Lady Kelvin to General Electric Company,,,,,,Artist,,Unknown,,,Unknown,,,,1897,1897,1897,Platinum prints,"Album: 30 x 36.4 x 1.4 cm (11 13/16 x 14 5/16 x 9/16 in.)
Sheet: 29.2 x 29.9 cm (11 1/2 x 11 3/4 in.)
Images: each approximately 17.8 x 22.8 cm (7 x 9 in.), or the reverse","Joyce F. Menschel Photography Library Fund, 2009",,,,,,,,,,,,Albums,,http://www.metmuseum.org/art/collection/search/291657,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
33.36,False,False,349334,Drawings and Prints,Book,Historiale Beschrÿvinghe der Goudtrÿcke Landen in Chile ende Arauco...,,,,,,Author,,Don Alonso di Ercilla,"Spanish, 1533–1594",,"Ercilla, Alouso di Don",Spanish,1533      ,1594      ,1619,1619,1619,Illustrations: woodcut,7 1/2 x 5 11/16 x 9/16 in. (19 x 14.5 x 1.5 cm),"Gift of Charles F. Stehlen, 1933",,Rotterdam,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/349334,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
07.236.58,False,True,445076,Islamic Art,Panel,Panel,,,,,,,,,,,,,,,13th–14th century,1200,1399,"Wood; carved, inlaid with plain and carved ivory",,"Rogers Fund, 1907",Attributed to,Cairo,,,Egypt,,,,,,,Wood,,http://www.metmuseum.org/art/collection/search/445076,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
56.594.2,False,False,358589,Drawings and Prints,Book,Illustrated Catalogue and Price-List of Builders' Hardware,,,,,,Author,,Clemens Vonnegut,"Indianapolis, Indiana",,"Vonnegut, Clemens",American,1850      ,1950      ,after 1890,1890,1900,Illustrations: engravings,12 3/8 × 9 7/16 × 11/16 in. (31.5 × 24 × 1.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1956",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/358589,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
